,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,date,title,review,vote,rating,text_lower,text_wo_punct,review_stopwords,logistic_sentiment,random_forest_sentiment,support_vector_sentiment
0,0,0,0,UMANG PATEL,2023-03-17,Worst air buds,"Don't  buy ..waste of money .you can use only 1 buds once ..both are not working at same time.
",0,3,"don't  buy ..waste of money .you can use only 1 buds once ..both are not working at same time.
","dont  buy waste of money you can use only 1 buds once both are not working at same time
",dont buy waste money use 1 buds working time,0,0,0
1,1,1,1,Placeholder,2020-11-09,"They are very good, I highly recommend them.","This is a genuine review and tested it for 2 complete days.Pros:- Battery life is good 3-4 hours with buds and around 12 additional hours with case. But should not expect this much backup of you are using volume above 80%- Fits good in ears however, it depends on the ear size and shape of an individual also.- The buds do not fall down during any work or workout. Did not try them while jogging/running though.- Noise cancellation for calls is decent, even when it is not promised primarily. I spoke over a call for 3 hours and the call quality is good.Cons:- Volume levels are high, but not very high. With some Youtube videos, the volume levels will not be enough if you are in crowd.- Bass is average, cannot have high expectations. These are not in-ear buds, hence, you'll feel the bass is low.- due to smooth finish and improper shape of buds, it is difficult to take out the buds if your hands/fingers are big. They are also slippery.- Touch controls are not so easy to navigate and sometimes I should repeat the command twice or thrice to get them working. Maybe I'm not much habituated to this.- Touch commands are also different from other Noise/ear buds products, so getting confused when using them.- When adjusting the ear bud, the long tap on the bud activates Google Assistance unnecessarily.Overall, the buds are too good for this price range. I don't think you should expect anything more for this deal.Edit 1: After 6 months of usage. (June 2021)- The buds sometimes connect to the phone even when they are placed inside the charging case. I will be connected to a Bluetooth speaker and these buds connect out of nowhere and the music playing will be interrupted and changed to the buds immediately. At those times, I will have to mark the buds as forget device and then continue playing the music from speakers. This has become a headache. I feel like giving 1 star for this.- The white LED lights on each earbud and the charging case light are almost invisible in the daylight or under the sun.
",778,3,"this is a genuine review and tested it for 2 complete days.pros:- battery life is good 3-4 hours with buds and around 12 additional hours with case. but should not expect this much backup of you are using volume above 80%- fits good in ears however, it depends on the ear size and shape of an individual also.- the buds do not fall down during any work or workout. did not try them while jogging/running though.- noise cancellation for calls is decent, even when it is not promised primarily. i spoke over a call for 3 hours and the call quality is good.cons:- volume levels are high, but not very high. with some youtube videos, the volume levels will not be enough if you are in crowd.- bass is average, cannot have high expectations. these are not in-ear buds, hence, you'll feel the bass is low.- due to smooth finish and improper shape of buds, it is difficult to take out the buds if your hands/fingers are big. they are also slippery.- touch controls are not so easy to navigate and sometimes i should repeat the command twice or thrice to get them working. maybe i'm not much habituated to this.- touch commands are also different from other noise/ear buds products, so getting confused when using them.- when adjusting the ear bud, the long tap on the bud activates google assistance unnecessarily.overall, the buds are too good for this price range. i don't think you should expect anything more for this deal.edit 1: after 6 months of usage. (june 2021)- the buds sometimes connect to the phone even when they are placed inside the charging case. i will be connected to a bluetooth speaker and these buds connect out of nowhere and the music playing will be interrupted and changed to the buds immediately. at those times, i will have to mark the buds as forget device and then continue playing the music from speakers. this has become a headache. i feel like giving 1 star for this.- the white led lights on each earbud and the charging case light are almost invisible in the daylight or under the sun.
","this is a genuine review and tested it for 2 complete dayspros battery life is good 34 hours with buds and around 12 additional hours with case but should not expect this much backup of you are using volume above 80 fits good in ears however it depends on the ear size and shape of an individual also the buds do not fall down during any work or workout did not try them while joggingrunning though noise cancellation for calls is decent even when it is not promised primarily i spoke over a call for 3 hours and the call quality is goodcons volume levels are high but not very high with some youtube videos the volume levels will not be enough if you are in crowd bass is average cannot have high expectations these are not inear buds hence youll feel the bass is low due to smooth finish and improper shape of buds it is difficult to take out the buds if your handsfingers are big they are also slippery touch controls are not so easy to navigate and sometimes i should repeat the command twice or thrice to get them working maybe im not much habituated to this touch commands are also different from other noiseear buds products so getting confused when using them when adjusting the ear bud the long tap on the bud activates google assistance unnecessarilyoverall the buds are too good for this price range i dont think you should expect anything more for this dealedit 1 after 6 months of usage june 2021 the buds sometimes connect to the phone even when they are placed inside the charging case i will be connected to a bluetooth speaker and these buds connect out of nowhere and the music playing will be interrupted and changed to the buds immediately at those times i will have to mark the buds as forget device and then continue playing the music from speakers this has become a headache i feel like giving 1 star for this the white led lights on each earbud and the charging case light are almost invisible in the daylight or under the sun
",genuine review tested 2 complete dayspros battery life good 34 hours buds around 12 additional hours case expect much backup using volume 80 fits good ears however depends ear size shape individual also buds fall work workout try joggingrunning though noise cancellation calls decent even promised primarily spoke call 3 hours call quality goodcons volume levels high high youtube videos volume levels enough crowd bass average cannot high expectations inear buds hence youll feel bass low due smooth finish improper shape buds difficult take buds handsfingers big also slippery touch controls easy navigate sometimes repeat command twice thrice get working maybe im much habituated touch commands also different noiseear buds products getting confused using adjusting ear bud long tap bud activates google assistance unnecessarilyoverall buds good price range dont think expect anything dealedit 1 6 months usage june 2021 buds sometimes connect phone even placed inside charging case connected bluetooth speaker buds connect nowhere music playing interrupted changed buds immediately times mark buds forget device continue playing music speakers become headache feel like giving 1 star white led lights earbud charging case light almost invisible daylight sun,0,0,0
2,2,2,2,Muskan saini,2023-02-17,Good sound,"Sound quality is excellent. Giving one star less because of some issues like it doesn't charge sometimes.
",1,4,"sound quality is excellent. giving one star less because of some issues like it doesn't charge sometimes.
","sound quality is excellent giving one star less because of some issues like it doesnt charge sometimes
",sound quality excellent giving one star less issues like doesnt charge sometimes,0,0,0
3,3,3,3,Palash Dafade,2023-02-02,It not much than expectations,"Bass is very low
",0,3,"bass is very low
","bass is very low
",bass low,0,0,0
4,4,4,4,Yash,2021-03-16,NOISE has made GOOD NOISE,"Ok about this product .. I think it's a brilliant product .. everything about this is very good .. I was pretty anxious before buying this but I guess it was the right choice ..Sound -Highs and Mids : Simply amazing and super clearLows or Bass : For a normal person this bass is more than enough and he/she will love them but if a musician, then the bass could have had been a little more .. although it is a lot already.Built Quality:Very Firm and luxurious quality in this budget .. a sweet briefcase like egg shaped casing with beautiful earsets.Comfort:Fits in appropriately and stays inside and specially even if you are a heavyweight person .. if you try to touch your cheek to your shoulder .. the normal pods usually pop out or fall down but this earpiece gets brilliantly adjusted and stays within though at times you may feel that they are a bit loose but they stay within the ear and do not fall out. At times when you press them in your ear for a more firm grip the bass quality increases and it sounds more better for Bass lovers.Charging and controls:Charging is great .. for the specifics read the number of hours but as I have been using them since last 2 weeks I have charged them only twice with almost 3 to 5 hrs usage in one day and charging takes 50 mins for full charge.From controls perspective if you need something very organised and clear like plus minus volume button and one single button for functionality then these may seem a bit finicky to you as the touch bit has pattern function- one touch two touch etc but if you're a science student who loves complications then these controls are for you plus you have to make sure that while adjusting these headphones in your ear hold them from the bottom so that it does not interfere with the touch function cz that gets annoying at a later stage.Call Range and Quality:Has a great range as mentioned and within that range the call quality is great and the individual on the receiving end can also hear you whispering on these.Noise Cancellation:Ofcourse they do not cancel the external voice completely like the In-Ear buds but that is what I needed as I don't feel comfortable in them and this was exactly what I was looking for and it does involve some external voice so that even while listening to music you can hear your mom shouting your name or the door bell but not when the volume is full or a level below full which is again a good thing in this product.Overall feedback : A Great product from my point of view and in their next update they should add more bass for the musicians out there. NOISE .. well done on this product .. highly impressive.
",0,5,"ok about this product .. i think it's a brilliant product .. everything about this is very good .. i was pretty anxious before buying this but i guess it was the right choice ..sound -highs and mids : simply amazing and super clearlows or bass : for a normal person this bass is more than enough and he/she will love them but if a musician, then the bass could have had been a little more .. although it is a lot already.built quality:very firm and luxurious quality in this budget .. a sweet briefcase like egg shaped casing with beautiful earsets.comfort:fits in appropriately and stays inside and specially even if you are a heavyweight person .. if you try to touch your cheek to your shoulder .. the normal pods usually pop out or fall down but this earpiece gets brilliantly adjusted and stays within though at times you may feel that they are a bit loose but they stay within the ear and do not fall out. at times when you press them in your ear for a more firm grip the bass quality increases and it sounds more better for bass lovers.charging and controls:charging is great .. for the specifics read the number of hours but as i have been using them since last 2 weeks i have charged them only twice with almost 3 to 5 hrs usage in one day and charging takes 50 mins for full charge.from controls perspective if you need something very organised and clear like plus minus volume button and one single button for functionality then these may seem a bit finicky to you as the touch bit has pattern function- one touch two touch etc but if you're a science student who loves complications then these controls are for you plus you have to make sure that while adjusting these headphones in your ear hold them from the bottom so that it does not interfere with the touch function cz that gets annoying at a later stage.call range and quality:has a great range as mentioned and within that range the call quality is great and the individual on the receiving end can also hear you whispering on these.noise cancellation:ofcourse they do not cancel the external voice completely like the in-ear buds but that is what i needed as i don't feel comfortable in them and this was exactly what i was looking for and it does involve some external voice so that even while listening to music you can hear your mom shouting your name or the door bell but not when the volume is full or a level below full which is again a good thing in this product.overall feedback : a great product from my point of view and in their next update they should add more bass for the musicians out there. noise .. well done on this product .. highly impressive.
","ok about this product  i think its a brilliant product  everything about this is very good  i was pretty anxious before buying this but i guess it was the right choice sound highs and mids  simply amazing and super clearlows or bass  for a normal person this bass is more than enough and heshe will love them but if a musician then the bass could have had been a little more  although it is a lot alreadybuilt qualityvery firm and luxurious quality in this budget  a sweet briefcase like egg shaped casing with beautiful earsetscomfortfits in appropriately and stays inside and specially even if you are a heavyweight person  if you try to touch your cheek to your shoulder  the normal pods usually pop out or fall down but this earpiece gets brilliantly adjusted and stays within though at times you may feel that they are a bit loose but they stay within the ear and do not fall out at times when you press them in your ear for a more firm grip the bass quality increases and it sounds more better for bass loverscharging and controlscharging is great  for the specifics read the number of hours but as i have been using them since last 2 weeks i have charged them only twice with almost 3 to 5 hrs usage in one day and charging takes 50 mins for full chargefrom controls perspective if you need something very organised and clear like plus minus volume button and one single button for functionality then these may seem a bit finicky to you as the touch bit has pattern function one touch two touch etc but if youre a science student who loves complications then these controls are for you plus you have to make sure that while adjusting these headphones in your ear hold them from the bottom so that it does not interfere with the touch function cz that gets annoying at a later stagecall range and qualityhas a great range as mentioned and within that range the call quality is great and the individual on the receiving end can also hear you whispering on thesenoise cancellationofcourse they do not cancel the external voice completely like the inear buds but that is what i needed as i dont feel comfortable in them and this was exactly what i was looking for and it does involve some external voice so that even while listening to music you can hear your mom shouting your name or the door bell but not when the volume is full or a level below full which is again a good thing in this productoverall feedback  a great product from my point of view and in their next update they should add more bass for the musicians out there noise  well done on this product  highly impressive
",ok product think brilliant product everything good pretty anxious buying guess right choice sound highs mids simply amazing super clearlows bass normal person bass enough heshe love musician bass could little although lot alreadybuilt qualityvery firm luxurious quality budget sweet briefcase like egg shaped casing beautiful earsetscomfortfits appropriately stays inside specially even heavyweight person try touch cheek shoulder normal pods usually pop fall earpiece gets brilliantly adjusted stays within though times may feel bit loose stay within ear fall times press ear firm grip bass quality increases sounds better bass loverscharging controlscharging great specifics read number hours using since last 2 weeks charged twice almost 3 5 hrs usage one day charging takes 50 mins full chargefrom controls perspective need something organised clear like plus minus volume button one single button functionality may seem bit finicky touch bit pattern function one touch two touch etc youre science student loves complications controls plus make sure adjusting headphones ear hold bottom interfere touch function cz gets annoying later stagecall range qualityhas great range mentioned within range call quality great individual receiving end also hear whispering thesenoise cancellationofcourse cancel external voice completely like inear buds needed dont feel comfortable exactly looking involve external voice even listening music hear mom shouting name door bell volume full level full good thing productoverall feedback great product point view next update add bass musicians noise well done product highly impressive,1,0,1
5,5,5,5,Mridul,2022-07-09,No good experience with it,"I am writing this review after using it for more than 6 months. Mine got issues in 6 months having low volume in one of the ear pieces. So I went for warranty claim & that was seemless. Initially I was quite impressed with the warranty claim process. I got the repaired product within a few days.This is where the issue started. I got an old repaired unit which has battery issues. Both ear pieces sound were corrected but battery drains in 3-4 min. So I asked for warranty claim again and they refused it by saying you can only claim it once. I told them that you sent me a defective product then they agreed to repair it too.I received repaired product second time the old used product and boom. This is another defective item. Now, sound were okay, battery is working fine but both ear pieces do not sync with each other. You can only use one at a time & there's a pause for 1-2 sec. in every 10-12 sec. play.I do not trust this brand now and do not recommend it at all. It's like gambling. If you are lucky your product will work otherwise it's waste of money.
",9,3,"i am writing this review after using it for more than 6 months. mine got issues in 6 months having low volume in one of the ear pieces. so i went for warranty claim & that was seemless. initially i was quite impressed with the warranty claim process. i got the repaired product within a few days.this is where the issue started. i got an old repaired unit which has battery issues. both ear pieces sound were corrected but battery drains in 3-4 min. so i asked for warranty claim again and they refused it by saying you can only claim it once. i told them that you sent me a defective product then they agreed to repair it too.i received repaired product second time the old used product and boom. this is another defective item. now, sound were okay, battery is working fine but both ear pieces do not sync with each other. you can only use one at a time & there's a pause for 1-2 sec. in every 10-12 sec. play.i do not trust this brand now and do not recommend it at all. it's like gambling. if you are lucky your product will work otherwise it's waste of money.
","i am writing this review after using it for more than 6 months mine got issues in 6 months having low volume in one of the ear pieces so i went for warranty claim  that was seemless initially i was quite impressed with the warranty claim process i got the repaired product within a few daysthis is where the issue started i got an old repaired unit which has battery issues both ear pieces sound were corrected but battery drains in 34 min so i asked for warranty claim again and they refused it by saying you can only claim it once i told them that you sent me a defective product then they agreed to repair it tooi received repaired product second time the old used product and boom this is another defective item now sound were okay battery is working fine but both ear pieces do not sync with each other you can only use one at a time  theres a pause for 12 sec in every 1012 sec playi do not trust this brand now and do not recommend it at all its like gambling if you are lucky your product will work otherwise its waste of money
",writing review using 6 months mine got issues 6 months low volume one ear pieces went warranty claim seemless initially quite impressed warranty claim process got repaired product within daysthis issue started got old repaired unit battery issues ear pieces sound corrected battery drains 34 min asked warranty claim refused saying claim told sent defective product agreed repair tooi received repaired product second time old used product boom another defective item sound okay battery working fine ear pieces sync use one time theres pause 12 sec every 1012 sec playi trust brand recommend like gambling lucky product work otherwise waste money,0,0,0
6,6,6,6,Debojit Kar,2021-05-31,Tip the blue strike before charging the air buds,"This is a nice product using since the 24th May 2021,No issue in charging, Fits quite good but I feel my right ear is a little smaller hence it dint fit and start paining after few hrs of use if used for a longer period, talking about Sound , I love to listen psytrance and house music which is more about bass and tunes , So completely satisfied with it, but yes if you listen it on high volume you end up the battery ðŸ”‹ a little sooner than expected, the touch is very sensitive I have a habit to put my hand on top of my head some time so the moment it touches the buds it activities the Google assistant,calls voice quality are clear no issues with it , Noise cancellation I would say it doesn't have one and I'm okay with it coz my mom have the habit of talking to me when my headphones are on so now I can get what she says with out pausing the music, Most important make sure you register yourself for the warranty asap ,There is no proper support if possible follow them on instagram and DM them you will get a reply there, That's it , I would recommend to buy this product it's very stylish. And yes most important thing try to peel off the sticker before charging the air buds I made that mistake and went crazy and was looking for help after discussing with a friend got the resolution, I haven't sweat yet so can't share that experience. But my friend said I can wear it and take a shower ðŸš¿ I guess he was joking . So enjoy the noise air bud it look goods treading and reasonable enjoy .
",1,4,"this is a nice product using since the 24th may 2021,no issue in charging, fits quite good but i feel my right ear is a little smaller hence it dint fit and start paining after few hrs of use if used for a longer period, talking about sound , i love to listen psytrance and house music which is more about bass and tunes , so completely satisfied with it, but yes if you listen it on high volume you end up the battery ðŸ”‹ a little sooner than expected, the touch is very sensitive i have a habit to put my hand on top of my head some time so the moment it touches the buds it activities the google assistant,calls voice quality are clear no issues with it , noise cancellation i would say it doesn't have one and i'm okay with it coz my mom have the habit of talking to me when my headphones are on so now i can get what she says with out pausing the music, most important make sure you register yourself for the warranty asap ,there is no proper support if possible follow them on instagram and dm them you will get a reply there, that's it , i would recommend to buy this product it's very stylish. and yes most important thing try to peel off the sticker before charging the air buds i made that mistake and went crazy and was looking for help after discussing with a friend got the resolution, i haven't sweat yet so can't share that experience. but my friend said i can wear it and take a shower ðŸš¿ i guess he was joking . so enjoy the noise air bud it look goods treading and reasonable enjoy .
","this is a nice product using since the 24th may 2021no issue in charging fits quite good but i feel my right ear is a little smaller hence it dint fit and start paining after few hrs of use if used for a longer period talking about sound  i love to listen psytrance and house music which is more about bass and tunes  so completely satisfied with it but yes if you listen it on high volume you end up the battery ðŸ”‹ a little sooner than expected the touch is very sensitive i have a habit to put my hand on top of my head some time so the moment it touches the buds it activities the google assistantcalls voice quality are clear no issues with it  noise cancellation i would say it doesnt have one and im okay with it coz my mom have the habit of talking to me when my headphones are on so now i can get what she says with out pausing the music most important make sure you register yourself for the warranty asap there is no proper support if possible follow them on instagram and dm them you will get a reply there thats it  i would recommend to buy this product its very stylish and yes most important thing try to peel off the sticker before charging the air buds i made that mistake and went crazy and was looking for help after discussing with a friend got the resolution i havent sweat yet so cant share that experience but my friend said i can wear it and take a shower ðŸš¿ i guess he was joking  so enjoy the noise air bud it look goods treading and reasonable enjoy 
",nice product using since 24th may 2021no issue charging fits quite good feel right ear little smaller hence dint fit start paining hrs use used longer period talking sound love listen psytrance house music bass tunes completely satisfied yes listen high volume end battery ðŸ”‹ little sooner expected touch sensitive habit put hand top head time moment touches buds activities google assistantcalls voice quality clear issues noise cancellation would say doesnt one im okay coz mom habit talking headphones get says pausing music important make sure register warranty asap proper support possible follow instagram dm get reply thats would recommend buy product stylish yes important thing try peel sticker charging air buds made mistake went crazy looking help discussing friend got resolution havent sweat yet cant share experience friend said wear take shower ðŸš¿ guess joking enjoy noise air bud look goods treading reasonable enjoy,0,0,0
7,7,7,7,Anand George Dova,2021-02-24,It's really good and recommendable to everyone.,"I am using these air buds for more than a month and my honest reviews.Pros:- Battery life is good 4-5 hours with buds and around 12 additional hours with the case. But you should not expect this much backup if you are using volume above 80% in few apps that might sound low and the rest might feel very high volume depends.Fits good in-ears however, it depends on the ear size and shape of an individual also. mine was not adjustable in the initial time later got it how to use it.The buds sometimes fall down during any work or workout. but only when you are a new user of this later it won't fall down. Did not try them while jogging/running though.- Noise cancellation for calls is decent, even when it is not promised primarily. I spoke over a call for 2 hours and the call quality is amazing.Cons:- Volume levels are high, but not much very high. With some Youtube videos, the volume levels will not be enough if you are in-crowd. also, you have to take care of buds in the crowded area so that they might not fall down else you won't get back.- Initially, touch controls are not so easy to navigate, and sometimes I should repeat the command twice or thrice to get them working. Maybe I'm not much habituated to this. Even I got pain a lot while using for movies or sports hours an hours it gives pain to my left ear.- When adjusting the earbud, then a long tap on the bud activates automatically Google Assistance unnecessarily.Overall, the buds are too good for this price range. I don't think you should expect anything more from this deal. Go for it.
",0,4,"i am using these air buds for more than a month and my honest reviews.pros:- battery life is good 4-5 hours with buds and around 12 additional hours with the case. but you should not expect this much backup if you are using volume above 80% in few apps that might sound low and the rest might feel very high volume depends.fits good in-ears however, it depends on the ear size and shape of an individual also. mine was not adjustable in the initial time later got it how to use it.the buds sometimes fall down during any work or workout. but only when you are a new user of this later it won't fall down. did not try them while jogging/running though.- noise cancellation for calls is decent, even when it is not promised primarily. i spoke over a call for 2 hours and the call quality is amazing.cons:- volume levels are high, but not much very high. with some youtube videos, the volume levels will not be enough if you are in-crowd. also, you have to take care of buds in the crowded area so that they might not fall down else you won't get back.- initially, touch controls are not so easy to navigate, and sometimes i should repeat the command twice or thrice to get them working. maybe i'm not much habituated to this. even i got pain a lot while using for movies or sports hours an hours it gives pain to my left ear.- when adjusting the earbud, then a long tap on the bud activates automatically google assistance unnecessarily.overall, the buds are too good for this price range. i don't think you should expect anything more from this deal. go for it.
","i am using these air buds for more than a month and my honest reviewspros battery life is good 45 hours with buds and around 12 additional hours with the case but you should not expect this much backup if you are using volume above 80 in few apps that might sound low and the rest might feel very high volume dependsfits good inears however it depends on the ear size and shape of an individual also mine was not adjustable in the initial time later got it how to use itthe buds sometimes fall down during any work or workout but only when you are a new user of this later it wont fall down did not try them while joggingrunning though noise cancellation for calls is decent even when it is not promised primarily i spoke over a call for 2 hours and the call quality is amazingcons volume levels are high but not much very high with some youtube videos the volume levels will not be enough if you are incrowd also you have to take care of buds in the crowded area so that they might not fall down else you wont get back initially touch controls are not so easy to navigate and sometimes i should repeat the command twice or thrice to get them working maybe im not much habituated to this even i got pain a lot while using for movies or sports hours an hours it gives pain to my left ear when adjusting the earbud then a long tap on the bud activates automatically google assistance unnecessarilyoverall the buds are too good for this price range i dont think you should expect anything more from this deal go for it
",using air buds month honest reviewspros battery life good 45 hours buds around 12 additional hours case expect much backup using volume 80 apps might sound low rest might feel high volume dependsfits good inears however depends ear size shape individual also mine adjustable initial time later got use itthe buds sometimes fall work workout new user later wont fall try joggingrunning though noise cancellation calls decent even promised primarily spoke call 2 hours call quality amazingcons volume levels high much high youtube videos volume levels enough incrowd also take care buds crowded area might fall else wont get back initially touch controls easy navigate sometimes repeat command twice thrice get working maybe im much habituated even got pain lot using movies sports hours hours gives pain left ear adjusting earbud long tap bud activates automatically google assistance unnecessarilyoverall buds good price range dont think expect anything deal go,0,0,0
8,8,8,8,Rajesh Yadav,2022-12-19,In this price this s not that good,"Battery life is not good
",1,3,"battery life is not good
","battery life is not good
",battery life good,1,1,1
9,9,9,9,Mridul Kumar Sharmah,2022-12-16,"Cheater company, sub standard product","This is a genuinely experienced review from a customer who is cheated by this fraud company. I bought a Noise TWS (airbuds). Its noise cancellations was poor, battery backup was miles below than claimed by them. Connecting to the phone took time than it should take. And, after few months its battery drained very fast and I lodged a complained to the call center. They took away the TWS from me and after around 22 days, they had returned me a different pair which was used by someone and its battery was worse than the previous one! I complained again but their call center is so pathetic that you won't get a chance to talk to their customer care executive in your lifetime. If you get, then you must be extremely lucky, I could not get through them even after trying more than 12 times.Then I twitted the matter but their reply from everyone was that they would not let me go as unhappy customer! But they never bothered to contact me. I twitted them 3 times and their response was same.  In the mean time the warranty got over and they said that they can not service me because the warranty has expired! Even if I had lodged the complaint long before the expiry of the warranty, they would not bother to continue on the same complaint number. Finally, I gave up and bought a TWS from Boult at 50% of the price of that of Noise and to my utter astonishment I found it better in terms of battery and noise cancellation than that of Noise. Finally, I bought a pair of Apple airpods and so far both of the Boult and Apple Airpods are working fine.
",0,1,"this is a genuinely experienced review from a customer who is cheated by this fraud company. i bought a noise tws (airbuds). its noise cancellations was poor, battery backup was miles below than claimed by them. connecting to the phone took time than it should take. and, after few months its battery drained very fast and i lodged a complained to the call center. they took away the tws from me and after around 22 days, they had returned me a different pair which was used by someone and its battery was worse than the previous one! i complained again but their call center is so pathetic that you won't get a chance to talk to their customer care executive in your lifetime. if you get, then you must be extremely lucky, i could not get through them even after trying more than 12 times.then i twitted the matter but their reply from everyone was that they would not let me go as unhappy customer! but they never bothered to contact me. i twitted them 3 times and their response was same.  in the mean time the warranty got over and they said that they can not service me because the warranty has expired! even if i had lodged the complaint long before the expiry of the warranty, they would not bother to continue on the same complaint number. finally, i gave up and bought a tws from boult at 50% of the price of that of noise and to my utter astonishment i found it better in terms of battery and noise cancellation than that of noise. finally, i bought a pair of apple airpods and so far both of the boult and apple airpods are working fine.
","this is a genuinely experienced review from a customer who is cheated by this fraud company i bought a noise tws airbuds its noise cancellations was poor battery backup was miles below than claimed by them connecting to the phone took time than it should take and after few months its battery drained very fast and i lodged a complained to the call center they took away the tws from me and after around 22 days they had returned me a different pair which was used by someone and its battery was worse than the previous one i complained again but their call center is so pathetic that you wont get a chance to talk to their customer care executive in your lifetime if you get then you must be extremely lucky i could not get through them even after trying more than 12 timesthen i twitted the matter but their reply from everyone was that they would not let me go as unhappy customer but they never bothered to contact me i twitted them 3 times and their response was same  in the mean time the warranty got over and they said that they can not service me because the warranty has expired even if i had lodged the complaint long before the expiry of the warranty they would not bother to continue on the same complaint number finally i gave up and bought a tws from boult at 50 of the price of that of noise and to my utter astonishment i found it better in terms of battery and noise cancellation than that of noise finally i bought a pair of apple airpods and so far both of the boult and apple airpods are working fine
",genuinely experienced review customer cheated fraud company bought noise tws airbuds noise cancellations poor battery backup miles claimed connecting phone took time take months battery drained fast lodged complained call center took away tws around 22 days returned different pair used someone battery worse previous one complained call center pathetic wont get chance talk customer care executive lifetime get must extremely lucky could get even trying 12 timesthen twitted matter reply everyone would let go unhappy customer never bothered contact twitted 3 times response mean time warranty got said service warranty expired even lodged complaint long expiry warranty would bother continue complaint number finally gave bought tws boult 50 price noise utter astonishment found better terms battery noise cancellation noise finally bought pair apple airpods far boult apple airpods working fine,0,0,0
